Epoch,Train_acc,PublicTest_acc,PrivateTest_acc
0,30.527012435124874,36.02674839788242,37.19699080523823
1,45.42826291406876,48.98300362217888,48.73223739203121
2,52.12651085025602,51.12844803566453,52.18723878517693
3,56.3029015291372,51.462803009194765,52.46586792978545
4,58.76206067783622,53.831150738367235,54.193368626358314
5,59.894109861019196,58.344942881025354,57.84341042073001
6,61.39886446758856,60.62970186681527,60.991919754806354
7,62.58316207461075,59.9052660908331,60.74115352465868
8,63.54801630150824,60.9083310114238,61.99498467539705
9,64.3352258873524,60.51825020897186,62.301476734466426
10,65.29311365773799,60.10030649205907,62.38506547784898
11,66.223135602076,63.30454165505712,63.88966285873502
12,66.8953986554739,62.97018668152689,64.58623572025634
13,67.74878957818106,63.72248537196991,64.36333240456952
14,68.45240168588248,62.719420451379214,63.41599331290053
15,69.46602110836324,63.91752577319588,64.92059069378656
16,69.80389424919015,65.22708275285595,65.8400668709947
17,71.1170713016824,63.33240456951797,64.16829200334355
18,70.83144658469469,65.58930064084703,67.09389802173307
19,72.207321745794,64.6698244636389,66.00724435775982
20,72.68104078860287,62.16216216216216,64.97631652270827
21,73.00149778815006,64.36333240456952,64.6140986347172
22,73.84443902608938,65.14349400947339,64.80913903594316
23,74.15096311261277,64.94845360824742,66.34159933129006
24,75.11581733951026,65.22708275285595,66.20228475898578
25,75.55122087150372,64.64196154917805,64.16829200334355
26,75.98662440349716,64.86486486486487,67.01030927835052
27,76.92709603260302,63.55530788520479,66.20228475898578
28,77.85363474868508,66.09083310114238,68.01337419894121
29,77.87801734647671,66.39732516021176,67.2610755084982
30,78.66871016057682,66.3137364168292,68.01337419894121
31,79.27827510536765,65.81220395653385,67.87405962663695
32,79.46288620293288,66.34159933129006,68.18055168570632
33,80.13514925633076,67.65115631095013,67.8461967121761
34,80.41729074506253,67.06603510727221,69.01643911953191
35,80.67504963600264,68.23627751462803,67.4282529952633
36,81.61203803685255,67.20534967957649,68.40345500139314
37,82.47936187258351,66.62022847589859,68.68208414600167
38,82.61172454630952,67.06603510727221,69.65728615213152
39,83.1585913824933,66.92672053496796,67.9019225410978
40,83.24218886063603,67.53970465310671,68.98857620507106
41,84.17569403323,66.8431317915854,68.431317915854
42,84.51008394580097,66.7874059626637,66.11869601560323
43,84.57626528266397,66.39732516021176,67.76260796879353
44,85.08133337977638,67.81833379771524,68.54276957369741
45,85.60730084642447,66.28587350236835,67.87405962663695
46,86.08798634574524,67.20534967957649,66.62022847589859
47,86.33529555191751,66.7874059626637,68.37559208693229
48,86.90306175763698,67.62329339648927,68.4870437447757
49,87.33846528963043,67.40039008080245,70.0752298690443
50,87.6066738653384,67.81833379771524,69.40651992198384
51,88.23713817966491,67.3725271663416,68.76567288938423
52,88.01072834302832,67.12176093619392,69.32293117860128
53,88.38691699467066,68.59849540261911,69.79660072443578
54,88.83277021143195,66.50877681805517,68.18055168570632
55,88.79793792887249,66.06297018668153,68.12482585678462
56,89.5537984604131,68.45918083031485,68.37559208693229
57,89.60953011250827,68.57063248815827,68.93285037614935
58,89.73492632972238,67.20534967957649,67.40039008080245
59,90.17729631822773,67.3725271663416,67.28893842295903
60,90.3061757636978,68.06910002786292,70.0195040401226
61,90.2992093071859,68.06910002786292,69.82446363889663
62,90.72416315441151,67.23321259403734,68.70994706046253
63,90.83214323034588,68.70994706046253,69.51797157982725
64,91.22923125152391,68.06910002786292,68.93285037614935
