Epoch,Train_acc,PublicTest_acc,PrivateTest_acc
0,32.65874812776481,43.10392867093898,43.07606575647813
1,48.340241736040966,46.19671217609362,47.64558372805796
2,53.760144902295444,47.952075787127335,48.760100306492056
3,57.337420321153644,44.10699359152967,45.472276400111454
4,59.437806959490054,57.7319587628866,58.59570911117303
5,60.838064718381,58.623572025633884,58.81861242685985
6,62.26618830331952,61.13123432711062,62.49651713569239
7,63.52015047546066,59.431596544998605,60.60183895235441
8,64.12971542025149,60.62970186681527,63.30454165505712
9,65.01097216900624,62.35720256338813,63.38813039843968
10,66.43212929743287,61.88353301755364,63.75034828643076
11,66.59235779720645,63.52744497074394,66.00724435775982
12,67.85328642585948,58.28921705210365,58.3170799665645
13,68.33397192518025,64.08470325996099,66.39732516021176
14,69.15949702183984,61.46558930064085,63.360267483978824
15,69.69591417325577,62.830872109222625,65.81220395653385
16,70.27064683548713,63.694622457509055,65.03204235162998
17,70.74784910655195,64.75341320702145,65.81220395653385
18,71.15190358424188,64.47478406241292,66.3137364168292
19,72.02967710474067,64.92059069378656,65.67288938422959
20,72.52081228882929,64.50264697687378,65.81220395653385
21,73.32195478769724,63.16522708275286,65.58930064084703
22,73.96635201504755,62.21788799108387,63.053775424909446
23,74.63513184018949,65.08776818055169,67.9576483700195
24,74.79884356821903,62.63583170799666,65.14349400947339
25,75.6452680344143,65.31067149623851,67.17748676511563
26,76.18865164234212,65.44998606854277,67.2610755084982
27,76.43247762025845,66.45305098913346,69.29506826414043
28,76.96541154341844,66.3137364168292,68.09696294232377
29,77.87801734647671,66.4251880746726,68.23627751462803
30,78.30993765021422,66.87099470604625,68.01337419894121
31,78.86725417116584,65.42212315408192,66.75954304820284
32,79.12849629036191,66.8988576205071,68.70994706046253
33,79.84255808283116,66.4251880746726,67.9576483700195
34,80.43819011459821,67.09389802173307,68.20841460016717
35,80.85269427705597,65.47784898300362,66.8988576205071
36,81.44135985231112,65.44998606854277,67.40039008080245
37,82.16238810129228,66.48091390359431,68.20841460016717
38,82.5664425789822,67.2610755084982,67.17748676511563
39,82.78936918736285,64.05684034550013,66.09083310114238
40,83.5173638928559,67.03817219281137,66.62022847589859
41,83.95276742484936,65.08776818055169,66.25801058790749
42,84.37772127207496,67.01030927835052,69.12789077737531
43,84.4752516632415,66.7874059626637,68.93285037614935
44,85.40179037932356,68.23627751462803,69.32293117860128
45,85.9312410742276,67.67901922541098,68.87712454722764
46,85.89989201992407,67.98551128448035,68.34772917247145
47,86.0566372914417,66.20228475898578,68.04123711340206
48,87.15385419206521,67.9576483700195,69.62942323767066
49,87.28970009404716,64.22401783226526,67.40039008080245
50,87.77038559336793,67.31680133741989,69.74087489551407
51,87.84701661499878,67.48397882418502,68.59849540261911
52,88.43916541850987,65.95151852883812,65.75647812761216
53,88.78400501584869,67.17748676511563,68.26414042908888
54,89.0765961893483,66.3137364168292,68.431317915854
55,88.99648193946149,66.95458344942881,68.431317915854
56,89.76627538402592,65.64502646976874,66.81526887712455
57,90.01706781845414,67.56756756756756,70.10309278350516
58,89.91257097077572,65.47784898300362,66.11869601560323
59,90.48730363300707,68.37559208693229,69.23934243521872
60,90.7380960674353,68.31986625801059,70.68821398718306
61,90.86349228464941,66.06297018668153,68.06910002786292
62,90.8042774042983,67.09389802173307,68.82139871830593
63,91.44519140339267,69.37865700752299,71.1340206185567
64,91.23271447977986,67.23321259403734,68.51490665923656
65,91.84576265282664,68.59849540261911,70.68821398718306
66,92.14880351109409,69.32293117860128,70.77180273056561
67,92.23936744574873,68.431317915854,70.24240735580942
68,92.44139468459367,68.34772917247145,69.5458344942881
69,92.31599846737957,68.59849540261911,70.15881861242686
70,92.58420704308753,69.60156032320981,69.10002786291446
71,93.04050994461667,67.98551128448035,70.130955697966
72,93.14849002055105,67.73474505433268,68.68208414600167
73,93.28781915078895,68.20841460016717,69.62942323767066
74,92.86634853181928,67.48397882418502,69.04430203399275
75,93.48287993312202,66.64809139035943,68.93285037614935
76,93.27736946602111,65.36639732516021,68.09696294232377
77,93.67794071545508,67.51184173864586,68.98857620507106
78,93.61524260684803,67.31680133741989,69.26720534967957
79,93.27388623776515,68.29200334354974,69.76873780997492
80,93.71277299801456,68.431317915854,69.57369740874896
81,93.63962520463966,68.15268877124547,69.76873780997492
82,94.00536417151416,68.18055168570632,69.71301198105321
83,93.8764847260441,66.14655893006409,68.15268877124547
84,93.7894040196454,69.0721649484536,69.82446363889663
85,94.89707060503675,68.54276957369741,70.21454444134856
86,95.23842697411962,68.15268877124547,69.99164112566174
